,percent_college,rate_unemployment
2983,46.9493725659888,12.8578360019408
4204,37.864077669902905,19.661016949152497
4524,74.3142949338496,9.57894736842105
6599,45.609633718013,23.126201153107
2497,54.9388111888112,15.3269024651661
7051,40.9500693481276,5.40322580645161
5006,41.606847045831,11.3598209289312
4694,73.5220649458784,5.58389261744966
6000,27.3076923076923,8.84353741496599
4704,57.3700305810398,18.8911704312115
5338,44.480102695763804,7.636363636363639
6667,33.6713995943205,9.20127795527157
5933,81.2173913043478,2.06327372764787
7655,59.5078299776286,4.5510455104551
3049,68.1594488188976,10.0225225225225
3128,56.446078431372506,8.2317898727322
2178,41.1732753938077,12.550374208405298
3658,50.552689756816505,5.77571669477234
2855,85.5254877281309,8.96096756459593
5937,46.8073593073593,5.4102259215220005
4485,58.6786114221725,14.0047473719905
4444,82.90526315789471,4.82661668228679
3947,94.3765975575121,5.61224489795918
5122,42.643560992184796,14.5584725536993
1654,43.8233834959484,13.2808398950131
2461,57.6345660930062,8.61500412201154
7365,54.819915254237294,8.83777239709443
6649,32.85,4.9965301873698795
1289,59.8376313276027,5.39314516129032
1616,39.067055393585996,23.0601092896175
7803,80.8621636463482,4.8396674584323
7062,70.1690821256039,12.5533211456429
3365,64.7983595352016,7.111262334127249
262,49.4968957396703,13.886693017127799
6731,54.435261707989,10.1551480959097
1414,61.62790697674419,5.40123456790123
5865,47.7523324851569,3.21516900247321
5253,42.2292705029452,7.73453093812375
6461,61.2609786700125,3.47172512526843
2318,48.3539094650206,13.0784708249497
4232,55.3734939759036,7.47126436781609
7985,73.6510602561411,3.35530257639305
883,67.66990291262141,7.05645161290323
3405,42.4291497975708,5.30973451327434
2600,56.8557919621749,18.444666001994
1784,78.230980751604,3.4278668310727496
461,39.6082178690874,6.69336384439359
3229,61.745652915103996,0.9421265141318981
6483,39.9439383321654,9.94535519125683
4261,36.6475462077757,12.6937984496124
6931,93.1575196008553,0.6612213146635549
7218,62.029685881946804,4.57957957957958
913,53.503184713375795,3.21148825065274
4030,47.269558481797105,16.9593345656192
6545,54.4403892944039,5.10046367851623
2007,39.224441833137504,7.49933984684447
6832,87.41754214512581,3.98749022673964
4039,43.1626056688215,19.3743693239152
7709,72.3738062755798,6.4493758668515895
5431,17.029862792574697,25.9834368530021
7310,60.922063666300794,12.8911138923655
4571,56.4516129032258,14.153439153439201
2247,45.203127980164,6.62983425414365
7897,74.034620505992,5.17529215358932
4669,78.1229773462783,9.27221833449965
3617,69.8240866035183,6.42693190512624
4091,37.7019748653501,13.0239520958084
2523,65.327564894932,7.63065084963129
163,25.178902729923102,7.1017274472168905
6162,40.8705173829729,11.3333333333333
6773,26.9347168179853,16.2225338943431
43,63.663890991673,17.6470588235294
3768,75.8426966292135,5.04818724185406
6514,51.1399371069182,6.372303060712491
2494,54.837040869115405,6.28660679422101
6764,38.5689354275742,17.4676524953789
4043,52.8460997891778,11.785972523499598
2216,33.7654320987654,3.5301278149726096
931,58.9874593590339,13.1399317406143
3569,86.2728062554301,12.539467749210601
3897,92.2141119221411,4.18704754451184
6193,39.171068671271804,13.9144558743909
4716,32.1881606765328,14.042263122017701
294,73.2925952552121,17.962577962578
7255,33.5403726708075,11.2654320987654
6744,59.8157335223246,3.60873694207028
3437,44.918998527246,4.453441295546559
7824,59.7198879551821,5.8892815076560705
6853,43.734335839599,13.1242740998839
3786,39.497856705450104,14.2295597484277
4930,84.1305998481397,1.59744408945687
5450,45.848776871756904,6.3043478260869605
3883,68.20702402957491,6.57721073471183
5246,46.6403162055336,3.3016734509271797
7379,49.725705329153605,9.63529941467807
2794,66.5998663994656,11.172089376715
4936,60.6974552309142,10.675306957708
419,50.9180790960452,7.44360902255639
2851,65.41725601131539,10.783055198973
5070,57.36167552360109,6.66423889293518
3597,84.8837209302326,13.8059701492537
7338,61.021505376344095,1.68539325842697
905,49.943946188340796,6.06595995288575
2404,91.6287878787879,4.9636803874092
4186,35.140073081607795,13.4862385321101
4409,86.8131868131868,10.016694490817999
1383,73.6683649837888,1.78571428571429
