,id,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,year,state,zip_code,school_type,school_level,average_act
4572,370357001466,-0.575252526205771,-0.36219645434425746,-0.8239435449019269,-0.5178926357033219,1.0679396884058556,2016-2017,NC,28425,Regular School,High,19.1269841269841
1202,172130002403,-0.04789209657945047,0.2761650531806938,0.7383411372845223,0.6358286339210187,-0.18905816619597746,2016-2017,IL,60146,Regular School,High,19.2
7876,551377001808,-0.4737864406148965,-0.35064104941728763,0.501627283672207,0.41233223858199636,-0.7518488006671701,2016-2017,WI,54170,Regular School,High,21.9
6902,482625002961,1.444203449303974,-0.6417493006282746,-0.6121373652240544,-0.984893833244927,1.2876465163539843,2016-2017,TX,78872,Regular School,High,17.3687423687424
4331,370053002570,-0.12927602166374025,1.1403756862169767,0.5811052247828119,0.7315119903950987,-0.2596367477790782,2016-2017,NC,28027,Regular School,High,22.0818070818071
2896,261941005611,-0.6800537046884139,0.06785779383588507,-0.3719717612908955,-0.684269595680811,-0.8612064270101956,2016-2017,MI,49801,Regular School,High,20.0
6655,481818008843,0.19391103341577703,-1.3976356397588272,0.11136374252434604,-0.7909534248080933,2.143279387363184,2016-2017,TX,78540,Regular School,High,18.7362637362637
4218,360012205727,-0.4100353779604302,-0.834476466109957,0.5205964083287657,-0.8357025173369689,1.8567660942263173,2016-2017,NY,11355,Regular School,High,16.5628815628816
4929,390451304479,-1.2665300787762626,2.39098867247572,1.5428114208341999,3.38665248792009,-1.1086565157356945,2016-2017,OH,43235,Regular School,High,25.0
7483,530762001123,-0.15859247564178988,-2.1070046161683003,0.470328227736281,-0.3432134322139819,2.4156628381911176,2016-2017,WA,99357,Regular School,High,18.8095238095238
1597,180456000763,-0.5644636918077066,0.34596455601546916,0.8185588757039473,0.7486146120295113,-0.6198903546584513,2016-2017,IN,46322,Regular School,High,20.6776556776557
2423,250666002627,-0.058205690845806804,-0.9117550939001484,-1.3482436469092667,-0.39921206470141524,1.9978708164230625,2016-2017,MA,1843,Regular School,Not reported,16.8070818070818
4321,370045000164,-0.4321910395515737,1.9725325654138843,0.566995975000994,0.3772552597444269,-0.4386754168260441,2016-2017,NC,28803,Regular School,High,22.985347985348
6070,470069000265,0.042530385881226734,0.34861112064216876,0.10335284454274471,-0.4466593863716423,0.15659988008644124,2016-2017,TN,37312,Regular School,High,18.9
6473,481168006517,0.6969637488071673,-2.125404250166647,-0.49078803891674616,-1.013993196753964,2.3762221905424394,2016-2017,TX,78521,Regular School,High,17.3687423687424
4464,370204000908,-0.18556807966054645,-0.33475528325785175,0.5230664487847638,-0.46521490062062876,-0.17820666773973648,2016-2017,NC,28716,Regular School,High,21.6666666666667
6001,470014801027,3.2073521605072206,-1.5647391400042225,-1.9870384802639791,-1.5291058954467442,2.1168796541142334,2016-2017,TN,38109,Regular School,Not reported,13.5
1730,181038001702,-0.5536159812658011,-0.9396681385833339,1.0923837596355181,-0.22212521059363857,-0.3509456982875445,2016-2017,IN,47387,Regular School,High,20.2625152625153
7211,484228004808,-0.013428704806292132,-0.5744238784315744,-0.4164732178349451,-0.18273106512990675,0.14261978982145376,2016-2017,TX,76574,Regular School,High,20.3724053724054
5616,421098004845,-0.8099401380576821,-0.6065861508620655,0.4184645969176926,-0.8707379849569791,-0.741030429103441,2016-2017,PA,15650,Regular School,High,22.8388278388278
7246,484428005059,0.591037029662108,-1.0938320965092418,-1.439931249512768,-1.1531803092301418,1.469712896838371,2016-2017,TX,76706,Regular School,High,17.9059829059829
885,170032005601,0.8410499986970658,-0.6286976783582067,-0.7732070033564022,-0.680492074882919,0.5873236015868466,2016-2017,IL,61462,Regular School,High,19.8
1149,171608001923,-0.9931901918960419,0.8088433626190138,-0.3794030547689396,-0.37974330366612524,0.5726526171106529,2016-2017,IL,61401,Regular School,High,18.9
5389,420001800337,-0.031098197500527395,1.276617545493524,-0.5692445016030175,0.4861806946199088,1.4483911036111017,2016-2017,PA,15222,Regular School,Other,16.001221001221
5370,391001700127,-0.4047214604223697,0.5588168264011726,-0.4972425677384324,-0.6770466438255008,0.30815021063452475,2016-2017,OH,44146,Regular School,High,17.0
2252,220183001410,-0.02494315797555206,-0.10931468141297637,-1.0093144607608306,-0.5349952573377345,-0.21161822238054614,2016-2017,LA,71446,Regular School,High,19.8
1254,172634002800,-0.4534376299561545,0.9683095669911059,1.512882811172518,2.1076918749194804,-1.527399123079153,2016-2017,IL,60447,Regular School,High,21.8
3642,340654005933,0.4571605255597654,0.17860226898675383,-1.0944793015549197,0.04939966346144046,0.007655020967095276,2016-2017,NJ,8619,Regular School,High,19.3956043956044
1291,173016003118,0.13161811712570676,-0.06647664348182952,-0.0028262917321365175,-0.2226648564219089,-0.3581814498596403,2016-2017,IL,61061,Regular School,High,20.2
1502,180141000207,0.021485666144939172,-0.5990606436960726,0.24205352234477523,-0.07799826322790943,-0.45470783759942135,2016-2017,IN,46931,Regular School,High,20.6239316239316
4911,390449501875,-0.051586874073007896,-0.0255954082290718,-0.5683485709061684,-0.4424667533981577,-1.000364272096427,2016-2017,OH,45377,Regular School,High,23.0
1038,170993004266,4.391464464156957,-1.421806887191409,-2.6516975709333583,-1.193612235132855,2.353738700705425,2016-2017,IL,60621,Regular School,High,14.9
3576,340285002026,-0.7461189004772439,1.1553787995594176,0.9485078908701459,1.746959394329565,-1.5453982811215525,2016-2017,NJ,7009,Regular School,High,21.6422466422466
4724,390436000175,0.012829181179741118,0.456903322973122,0.9222241284490758,-0.09817271496170676,-0.7283436005675252,2016-2017,OH,44017,Regular School,High,22.0
4984,390457902345,-1.5794222155652677,0.935462709849249,1.5166737433228419,1.101044849107576,-1.0188893301828439,2016-2017,OH,45806,Regular School,High,24.0
2633,260100104830,3.6932331165413608,0.05709449886986532,-2.920262317307128,-1.397764403089265,1.1829951945491874,2016-2017,MI,48214,Regular School,High,13.4
1992,210516001265,-0.2551543190959815,-0.7925937278734102,-0.8362509300722394,-0.9129964044322995,0.5221429401880793,2016-2017,KY,42642,Regular School,High,18.3
6323,480005509533,-0.2167031735527948,-0.7109589110130082,-0.9864120023609851,-0.15898664868601356,-0.6442832301714965,2016-2017,TX,75154,Regular School,Elementary,19.3956043956044
4009,360008605670,1.0977107457362583,-0.9809328435484741,-1.653639442214441,-1.1912460957319775,1.156566969878423,2016-2017,NY,10457,Regular School,Other,16.6605616605617
5377,391002402313,0.19184911945534086,-0.5260142491117139,0.41068507365818485,-0.45641452249806697,-1.0002554889157083,2016-2017,OH,43351,Regular School,High,21.0
5283,390498703726,-0.9774354657712062,-0.006572851716169546,1.1913274394782396,-0.049314011894465055,-0.638928242962408,2016-2017,OH,44641,Regular School,High,22.0
2454,250774001213,-0.49078496781497166,0.23101822273542122,0.7626345737547784,0.47646706971104347,-0.303731315470156,2016-2017,MA,1844,Regular School,High,20.1282051282051
4472,370225000968,0.597916797672596,0.022625350936141455,-1.9760238107958934,-1.091868240895124,0.565003176082448,2016-2017,NC,28376,Regular School,High,17.8815628815629
6719,482001012192,-0.9076921720948444,1.554687694853718,0.9083705255140913,2.0558028529704133,-1.348262095521498,2016-2017,TX,75035,Regular School,High,22.5213675213675
758,130357002183,0.9324572894100602,-0.9396651705179301,-0.7433160613952807,-0.9358690853074483,0.5864183084382674,2016-2017,GA,30824,Regular School,High,18.6874236874237
7227,484335004923,-0.8621526714124357,-0.41318471173171684,0.9343944151080084,0.40759995978024144,-0.3111712008928498,2016-2017,TX,78460,Regular School,High,20.4456654456654
4275,370001100436,0.7805694461155157,0.2691515681451026,-0.3079724839844551,-0.7592803658103826,0.0409611713108045,2016-2017,NC,28348,Regular School,High,19.4200244200244
5807,421899003857,-0.02862532055257357,-0.8809998303604192,-2.325971208202379,-0.8581600860365252,2.431472240542493,2016-2017,PA,19131,Regular School,High,13.974358974359
2713,260780004358,1.1429558218275644,-0.8699409075621932,-0.1989492294250681,-0.2757577036801945,-0.528189766144062,2016-2017,MI,48014,Regular School,High,18.7
1669,180801001376,-1.0319123134051214,-0.2105585622682806,0.990463719460052,0.34450290909017567,-1.0054691901637385,2016-2017,IN,47552,Regular School,High,21.4175824175824
3108,263312006868,-0.2686927325003495,-0.29434933240201816,0.6073029703764115,0.23059612810758326,-0.9127280635396882,2016-2017,MI,49270,Regular School,High,20.0
1922,210300001642,1.692196799565209,-0.7263795460474743,-0.34855501674168293,-0.810214629755587,1.0538500156056103,2016-2017,KY,41537,Regular School,Other,17.7
